function name,preset,time,reads,writes,proof_size
create,orderbook,94935000,40152,9,3
update,orderbook,384728000,752256,23,18
change_orderbook,status,24033000,2712,1,1
service_single,expiration,115430000,629682,9,3
delete_orderbook,1,15121116000,10989676,647,646
delete_orderbook,2,63979361000,24369861,2311,2310
delete_orderbook,3,303245311000,60405043,8711,8710
delete_orderbook,4,1512049377000,169556849,33799,33798
place_limit_order,1,6468083000,6217900,334,331
place_limit_order,2,26776218000,13155094,1166,1163
place_limit_order,3,127207384000,32138678,4366,4363
place_limit_order,4,669548751000,90537552,16910,16907
cancel_limit_order_first,1,153670000,631793,9,7
cancel_limit_order_first,2,166058000,634528,9,7
cancel_limit_order_first,3,189024000,639503,9,7
cancel_limit_order_first,4,228232000,649338,9,7
cancel_limit_order_last,1,153966000,631793,9,7
cancel_limit_order_last,2,167270000,634528,9,7
cancel_limit_order_last,3,191209000,639503,9,7
cancel_limit_order_last,4,233500000,649338,9,7
execute_market_order,1,6152181000,5597685,328,325
execute_market_order,2,25747122000,12532905,1160,1157
execute_market_order,3,122476683000,31512021,4360,4357
execute_market_order,4,652954530000,89902403,16904,16901
exchange,1,6138549000,5597005,328,325
exchange,2,25643856000,12532093,1160,1157
exchange,3,123030189000,31511339,4360,4357
exchange,4,655321790000,89901853,16904,16901
create,orderbook,94935000,40152,9,3
update,orderbook,384728000,752256,23,18
change_orderbook,status,24033000,2712,1,1
service_single,expiration,115430000,629682,9,3
delete_orderbook,1,15121116000,10989676,647,646
delete_orderbook,2,63979361000,24369861,2311,2310
delete_orderbook,3,303245311000,60405043,8711,8710
delete_orderbook,4,1512049377000,169556849,33799,33798
place_limit_order,1,6468083000,6217900,334,331
place_limit_order,2,26776218000,13155094,1166,1163
place_limit_order,3,127207384000,32138678,4366,4363
place_limit_order,4,669548751000,90537552,16910,16907
cancel_limit_order_first,1,153670000,631793,9,7
cancel_limit_order_first,2,166058000,634528,9,7
cancel_limit_order_first,3,189024000,639503,9,7
cancel_limit_order_first,4,228232000,649338,9,7
cancel_limit_order_last,1,153966000,631793,9,7
cancel_limit_order_last,2,167270000,634528,9,7
cancel_limit_order_last,3,191209000,639503,9,7
cancel_limit_order_last,4,233500000,649338,9,7
execute_market_order,1,6152181000,5597685,328,325
execute_market_order,2,25747122000,12532905,1160,1157
execute_market_order,3,122476683000,31512021,4360,4357
execute_market_order,4,652954530000,89902403,16904,16901
exchange,1,6138549000,5597005,328,325
exchange,2,25643856000,12532093,1160,1157
exchange,3,123030189000,31511339,4360,4357
exchange,4,655321790000,89901853,16904,16901
